Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Finance & Accounting Advice,Finance & Commercial Group - Finance Directoreate,CIGNA RECRUITMENT LTD,109094,16380.00,F&C Devolved Admin-Finance & Accounting Advice,EN5 4HL,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/08/2015,Finance & Accounting Advice,Finance & Commercial Group - Finance Directoreate,CIGNA RECRUITMENT LTD,109095,-10920.00,F&C Devolved Admin-Finance & Accounting Advice,EN5 4HL,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/08/2015,Finance & Accounting Advice,Finance & Commercial Group - Finance Directoreate,CIGNA RECRUITMENT LTD,109095,16380.00,F&C Devolved Admin-Finance & Accounting Advice,EN5 4HL,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/08/2015,Finance & Accounting Advice,Finance & Commercial Group - Finance Directoreate,CIGNA RECRUITMENT LTD,109095,16380.00,F&C Devolved Admin-Finance & Accounting Advice,EN5 4HL,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2015,Finance & Accounting Advice,Finance & Commercial Group - Finance Directoreate,CIGNA RECRUITMENT LTD,109096,165.60,F&C Devolved Admin-Finance & Accounting Advice,EN5 4HL,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),109097,0.95,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),109098,1.80,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),109099,2.25,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),109100,2.56,NEWTON FUND - China-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),109101,2.74,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),109102,3.00,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),109103,3.00,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),109104,3.10,NEWTON FUND - China-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),109105,3.45,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),109107,3.60,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),109108,3.82,NEWTON FUND - China-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),109109,3.82,NEWTON FUND - China-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),109110,3.82,NEWTON FUND - China-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),109111,3.96,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),109113,4.04,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2015,Leadership & People Management,Enterprise & Skills Group - Vocational Education Directorate,CAPITA BUSINESS SERVICES LTD,109114,47.56,E&S Devolved Admin-Leadership & People Management,DL1 9HN,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),109115,4.53,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),109116,4.54,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),109117,5.60,NEWTON FUND - China-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),109119,6.08,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),109120,6.55,NEWTON FUND - Philippines-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),109121,6.60,NEWTON FUND - China-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),109122,6.67,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),109123,6.90,NEWTON FUND - China-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),109124,7.02,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),109125,7.24,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),109126,7.57,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),109127,7.57,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),109129,8.01,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),109130,8.85,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),109131,8.94,Newton Fund - Singapore-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2015,InfoSource Desktop Information,Finance & Commercial Group - Information and Technology Directorate,MORNINGSTAR UK LTD,109132,16320.00,F&C Devolved Admin-InfoSource Desktop Information,EC1Y 1HQ,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),109143,9.07,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),109144,9.17,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),109145,9.49,NEWTON FUND - China-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
