Department family,Entity,Date,Expense type,Expense area,Description,Supplier,Transaction No,Amount
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Young People's Funding,Subsistence and lodging allowances for official duty,Redfern Travel Limited,PAYBACSAUTO225003,116.31 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Young People's Funding,Subsistence and lodging allowances for official duty,Redfern Travel Limited,PAYBACSAUTO225003,0.26 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Finance Processing Team,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,35.96 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Finance Processing Team,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.03 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Finance Processing Team,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,81.10 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Finance Processing Team,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.01 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,172.85 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.13 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,30.27 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.07 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Finance Processing Team,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,182.82 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Finance Processing Team,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.16 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,8.02 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.18 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Maintained Schools,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,129.82 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Maintained Schools,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.17 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Young People's Funding,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,63.97 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Young People's Funding,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.04 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Academies National Funding Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,189.45 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Academies National Funding Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.07 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Chief Executive Office,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,85.26 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Chief Executive Office,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.03 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Chief Executive Office,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,117.49 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,30.29 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Finance Processing Team,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,175.16 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Maintained Schools,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.13 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Young People's Funding,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,88.77 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Young People's Funding,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.19 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Young People's Funding,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,152.36 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Young People's Funding,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.03 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,30.43 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.03 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,49.36 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.05 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,14.88 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.08 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Young People's Funding,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,36.74 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Chief Executive Office,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.04 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.14 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,Subsistence and lodging allowances for official duty,Redfern Travel Limited,PAYBACSAUTO225003,100.68 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Chief Executive Office,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.10 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,20.00 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.13 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,Subsistence and lodging allowances for official duty,Redfern Travel Limited,PAYBACSAUTO225003,171.18 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,Subsistence and lodging allowances for official duty,Redfern Travel Limited,PAYBACSAUTO225003,0.23 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Finance Processing Team,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,19.46 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Finance Processing Team,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.02 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,27.12 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.12 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,27.98 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Maintained Schools,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.06 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,30.62 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Maintained Schools,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,138.96 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Young People's Funding,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,152.61 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Young People's Funding,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.08 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Young People's Funding,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,153.15 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Young People's Funding,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.19 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Maintained Schools,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,265.67 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Maintained Schools,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.19 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Maintained Schools,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,139.57 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Maintained Schools,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.19 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Maintained Schools,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,138.78 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Maintained Schools,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.03 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Maintained Schools,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,139.28 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.08 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.12 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,30.44 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Finance Processing Team,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.02 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Young People's Funding,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,147.13 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Young People's Funding,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.14 
