Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Expenditure Description,Supplier Type
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,LANCASHIRE COUNTY COUNCIL,4000060545,"31,018,600.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,LEEDS CITY COUNCIL,4000060546,"18,819,600.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,LEICESTER CITY COUNCIL,4000060547,"9,805,680.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,LEICESTERSHIRE COUNTY COUNCIL,4000060548,"16,037,040.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,LINCOLNSHIRE COUNTY COUNCIL,4000060549,"15,775,160.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,LIVERPOOL CITY COUNCIL,4000060550,"12,568,200.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF BARKING & DAGENHAM COUNCIL,4000060551,"7,573,360.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF BARNET COUNCIL,4000060552,"9,274,720.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF BEXLEY COUNCIL,4000060553,"5,964,320.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF BRENT,4000060554,"9,377,000.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF BROMLEY COUNCIL,4000060555,"158,121.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF CAMDEN,4000060556,"6,198,040.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF CROYDON COUNCIL,4000060557,"9,434,760.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF EALING COUNCIL,4000060558,"10,418,000.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF ENFIELD COUNCIL,4000060559,"9,760,680.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF GREENWICH,4000060560,"9,066,360.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF HAMMERSMITH & FULHAM COUNCIL,4000060561,"4,493,600.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF HARINGEY,4000060562,"8,340,120.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF HARROW COUNCIL,4000060563,"6,790,960.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF HAVERING COUNCIL,4000060564,"6,642,280.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF HILLINGDON  COUNCIL,4000060565,"7,858,720.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF HOUNSLOW COUNCIL,4000060566,"7,480,000.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF ISLINGTON COUNCIL,4000060567,"6,153,480.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF LAMBETH COUNCIL,4000060568,"8,633,000.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF LEWISHAM,4000060569,"9,050,760.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF MERTON COUNCIL,4000060570,"4,944,840.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF NEWHAM,4000060571,"12,553,360.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF REDBRIDGE,4000060572,"9,142,880.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF RICHMOND UPON THAMES,4000060573,"4,160,720.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF SOUTHWARK COUNCIL,4000060574,"7,939,320.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF SUTTON,4000060575,"5,929,760.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF TOWER HAMLETS COUNCIL,4000060576,"11,892,560.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF WALTHAM FOREST COUNCIL,4000060577,"8,367,200.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF WANDSWORTH COUNCIL,4000060578,"7,297,080.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,LUTON BOROUGH COUNCIL,4000060579,"6,423,760.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,MANCHESTER CITY COUNCIL,4000060580,"14,081,160.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,MEDWAY COUNCIL,4000060581,"6,253,720.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,METROPOLITAN BOROUGH OF WIRRAL,4000060582,"8,897,880.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,MIDDLESBROUGH COUNCIL,4000060583,"3,927,120.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,MILTON KEYNES COUNCIL,4000060584,"6,934,400.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,NEWCASTLE CITY COUNCIL,4000060585,"6,598,240.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,NORFOLK COUNTY COUNCIL,4000060586,"19,181,720.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,NORTH EAST LINCOLNSHIRE COUNCIL,4000060587,"3,535,200.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,NORTH LINCOLNSHIRE COUNCIL,4000060588,"4,478,600.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,NORTH SOMERSET COUNCIL,4000060589,"5,070,720.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,NORTH TYNESIDE,4000060590,"5,336,920.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,NORTH YORKSHIRE COUNTY COUNCIL,4000060591,"14,454,760.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,NORTHAMPTONSHIRE COUNTY COUNCIL,4000060592,"17,486,280.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,NORTHUMBERLAND COUNTY COUNCIL,4000060593,"7,563,080.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,NOTTINGHAM CITY COUNCIL,4000060594,"7,217,120.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,NOTTINGHAMSHIRE COUNTY COUNCIL,4000060595,"18,271,120.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,OLDHAM MBC,4000060596,"7,429,600.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,OXFORDSHIRE COUNTY COUNCIL,4000060597,"14,982,200.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,PETERBOROUGH CITY COUNCIL,4000060598,"5,033,240.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,PLYMOUTH CITY COUNCIL,4000060599,"954,527.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,POOLE BOROUGH COUNCIL,4000060600,"2,885,480.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,PORTSMOUTH CITY COUNCIL,4000060601,"4,889,520.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,READING BOROUGH COUNCIL,4000060602,"3,062,280.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,REDCAR & CLEVELAND BOROUGH COUNCIL,4000060603,"4,105,960.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,ROCHDALE MBC,4000060604,"6,745,720.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,ROTHERHAM MBC,4000060605,"7,305,960.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,ROYAL BOROUGH OF KINGSTON UPON THAMES COUNCIL,4000060606,"4,199,120.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,SALFORD CITY COUNCIL,4000060607,"6,457,600.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,SANDWELL MBC,4000060608,"8,925,880.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,SEFTON COUNCIL,4000060609,"7,686,000.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,SHEFFIELD CITY COUNCIL,4000060610,"13,706,240.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,SHROPSHIRE COUNCIL,4000060611,"7,046,800.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,SLOUGH BOROUGH COUNCIL,4000060612,"4,492,720.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,SOLIHULL MBC,4000060613,"5,338,440.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,SOMERSET COUNTY COUNCIL,4000060614,"12,160,320.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,SOUTH GLOUCEST,4000060615,"6,351,880.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,SOUTH TYNESIDE,4000060616,"4,151,640.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,SOUTHAMPTON CITY COUNCIL,4000060617,"5,372,040.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,SOUTHEND ON SEA BOROUGH COUNCIL,4000060618,"4,500,280.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,ST HELENS MBC,4000060619,"4,545,440.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,STAFFORDSHIRE COUNCIL,4000060620,"20,477,200.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,STOCKPORT MBC,4000060621,"7,305,600.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,STOCKTON ON TEES,4000060622,"5,222,240.00",Dedicated Schools Grant,Public Sector
