Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Total
Ministry of Defence,Ministry of Defence,06/05/2010,Research and development,Defence Equipment & Support,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,629398,6903.28
Ministry of Defence,Ministry of Defence,05/05/2010,Design services and minor equipment purchases,Defence Equipment & Support,DEFENCE SUPPORT GROUP  (DSG),628678,6845.73
Ministry of Defence,Ministry of Defence,19/05/2010,Fees for professional services,Navy Command,CRIMINAL RECORDS BUREAU,636276,6840
Ministry of Defence,Ministry of Defence,04/05/2010,Design services and minor equipment purchases,Defence Equipment & Support,HEMPEL UK LTD.,628223,6799
Ministry of Defence,Ministry of Defence,04/05/2010,Estate management,Defence Estates,SODEXO LTD,628426,6791.76
Ministry of Defence,Ministry of Defence,20/05/2010,Fees for professional services,Central TLB,RIGHT MANAGEMENT LIMITED,637374,6790
Ministry of Defence,Ministry of Defence,05/05/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,628508,6783.84
Ministry of Defence,Ministry of Defence,11/05/2010,Design services and minor equipment purchases,Defence Estates,VT LAND (WHITEFLEET MANAGEMENT) LTD,632400,6780.78
Ministry of Defence,Ministry of Defence,07/05/2010,Purchase of inventory and services ,Navy Command,BOC LIMITED,630191,6769.92
Ministry of Defence,Defence Support Group,24/05/2010,General training,Business Stream 2,THE ACCOUNTING OFFIC,426942,6750
Ministry of Defence,Ministry of Defence,24/05/2010,Purchase of inventory and services ,Defence Equipment & Support,CANON (UK) LIMITED,638481,6733.43
Ministry of Defence,Ministry of Defence,13/05/2010,Purchase of inventory and services ,Air Command,LYRECO UK LTD,633548,6709.53
Ministry of Defence,Ministry of Defence,05/05/2010,Purchase of inventory and services ,Defence Equipment & Support,XMA LTD,629200,6687.41
Ministry of Defence,Ministry of Defence,07/05/2010,Design services and minor equipment purchases,Defence Equipment & Support,SELEX GALILEO LTD,630854,6687
Ministry of Defence,Ministry of Defence,25/05/2010,Payment of utilities,Defence Estates,TOTAL GAS & POWER LIMITED,640362,6666.22
Ministry of Defence,Ministry of Defence,25/05/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,639714,6646.41
Ministry of Defence,Ministry of Defence,20/05/2010,IT and communication services,Land Forces,ASPIRE DEFENCE LIMITED,636922,6622.63
Ministry of Defence,Ministry of Defence,05/05/2010,Purchase of inventory and services ,Air Command,XMA LTD,629200,6614.22
Ministry of Defence,Ministry of Defence,10/05/2010,Purchase of inventory and services ,Navy Command,CANON (UK) LIMITED,631113,6607.7
Ministry of Defence,Ministry of Defence,19/05/2010,Purchase of inventory and services ,Air Command,XMA LTD,636881,6589.09
Ministry of Defence,Ministry of Defence,06/05/2010,"Purchase of munitions, other inventory or fuel",Land Forces,NEW PIG LTD,629706,6565.81
Ministry of Defence,Ministry of Defence,07/05/2010,General services and support,Command Joint Operations,INTERSERVE (DEFENCE) LTD,630474,6530.95
Ministry of Defence,Ministry of Defence,07/05/2010,Externally delivered education and training.,Air Command,THE BRITISH SCHOOL OF MOTORING LIMITED,630937,6461
Ministry of Defence,Ministry of Defence,20/05/2010,Payments on behalf of Defence Support Group,Central TLB,VEOLIA ES (UK) LIMITED,637507,6457.23
Ministry of Defence,Ministry of Defence,20/05/2010,Medical treatment & stores and welfare services.,Air Command,THE SOLDIERS  SAILORS  AIRMEN AND FAMILIES ASS - FORCES HELP,637470,6415.63
Ministry of Defence,Ministry of Defence,20/05/2010,Medical treatment & stores and welfare services.,Navy Command,THE SOLDIERS  SAILORS  AIRMEN AND FAMILIES ASS - FORCES HELP,637470,6415.62
Ministry of Defence,Ministry of Defence,14/05/2010,Transport hire charges,Command Joint Operations,VT LAND (WHITEFLEET MANAGEMENT) LTD,634697,6408.26
Ministry of Defence,Ministry of Defence,07/05/2010,Medical treatment & stores and welfare services.,Air Command,LOCUM LINK (DIRECT) LIMITED,630520,6386
Ministry of Defence,Ministry of Defence,25/05/2010,Purchase of inventory and services ,Air Command,LYRECO UK LTD,640017,6335.08
Ministry of Defence,Ministry of Defence,27/05/2010,Purchase of inventory and services ,Defence Equipment & Support,XMA LTD,641876,6326.2
Ministry of Defence,Ministry of Defence,07/05/2010,Purchase of inventory and services ,Air Command,XMA LTD,631015,6287.34
Ministry of Defence,Ministry of Defence,21/05/2010,Estate management,Central TLB,SODEXO LTD,638221,6245.62
Ministry of Defence,Ministry of Defence,11/05/2010,"Transportation of personnel, freight and travel expenses",Land Forces,CARTUS LTD,631890,6237.96
Ministry of Defence,Ministry of Defence,26/05/2010,Payment of utilities,Defence Estates,ESSO PETROLEUM COMPANY LIMITED,640679,6229.07
Ministry of Defence,Ministry of Defence,18/05/2010,Payments on behalf of Defence Support Group,Central TLB,ESSO PETROLEUM COMPANY LIMITED,635678,6217.02
Ministry of Defence,Ministry of Defence,17/05/2010,IT and communication services,Land Forces,CYTA,5000034981,6187.21
Ministry of Defence,Ministry of Defence,12/05/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,632430,6159.25
Ministry of Defence,Ministry of Defence,24/05/2010,Payment of utilities,Defence Estates,TOTAL GAS & POWER LIMITED,638929,6147.64
Ministry of Defence,Ministry of Defence,20/05/2010,Purchase of inventory and services ,Air Command,THYSSENKRUPP AEROSPACE UK LTD,637476,6116.04
Ministry of Defence,Ministry of Defence,28/05/2010,Purchase of inventory and services ,Air Command,L WHITAKER & SONS (1983) LIMITED,642203,6032.27
Ministry of Defence,Ministry of Defence,07/05/2010,Food and clothing,Air Command,TECHNOGYM U K LIMITED,630924,5980.5
Ministry of Defence,Ministry of Defence,17/05/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,634735,5954.77
Ministry of Defence,Defence Science and Technology Laboratory,14/05/2010,Repairs & Maintenance,Infrastructure,SAFECOM A/S,V - 0000001114 - 00062960,5929.05
Ministry of Defence,Ministry of Defence,25/05/2010,IT and communication services,Navy Command,IMPACT MARCOM LTD,639968,5875
Ministry of Defence,Ministry of Defence,21/05/2010,Purchase of inventory and services ,Air Command,XMA LTD,638399,5870.78
Ministry of Defence,Defence Support Group,25/05/2010,FM Contract var chgs,Business Stream 2,CARILLION (AMBS) LTD,426555,5870.64
Ministry of Defence,Ministry of Defence,19/05/2010,General services and support,Central TLB,BAE SYSTEMS SURFACE SHIPS PORTSMOUTH LIMITED,636203,5839.69
Ministry of Defence,Ministry of Defence,20/05/2010,"Transporation of personnel, freight and travel expenses",Defence Equipment & Support,DHL GLOBAL FORWARDING (UK)  LIMITED,637051,5811.91
Ministry of Defence,Ministry of Defence,19/05/2010,Payment of utilities,Air Command,BRITISH GAS TRADING LIMITED,636226,5746.43
Ministry of Defence,Ministry of Defence,14/05/2010,IT and communication services,Air Command,XMA LTD,634723,5713.27
Ministry of Defence,Defence Support Group,19/05/2010,Operational support,Corporate,JOSEPH GLEAVE & SON,416033,5688.88
Ministry of Defence,Ministry of Defence,19/05/2010,Medical treatment & stores and welfare services.,Air Command,HONEYBEERECRUITMENT.COM LTD,135590,5654.4
Ministry of Defence,Ministry of Defence,17/05/2010,Purchase of inventory and services ,Air Command,UNIPART GROUP LIMITED,635436,5631.26
Ministry of Defence,Ministry of Defence,19/05/2010,"Transporation of personnel, freight and travel expenses",Land Forces,DHL GLOBAL FORWARDING (UK)  LIMITED,636292,5619.35
Ministry of Defence,Ministry of Defence,07/05/2010,Purchase of inventory and services ,Defence Equipment & Support,BOC LIMITED,630191,5611.15
Ministry of Defence,Ministry of Defence,14/05/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,633944,5608.93
Ministry of Defence,Ministry of Defence,06/05/2010,"Transportation of personnel, freight and travel expenses",Air Command,CARTUS LTD,629344,5570.38
Ministry of Defence,Ministry of Defence,28/05/2010,Payment of utilities,Land Forces,TOTAL GAS & POWER LIMITED,642582,5565.76
Ministry of Defence,Ministry of Defence,21/05/2010,Fees for professional services,Land Forces,CORPORATE DOCUMENT SERVICES  LIMITED,637713,5541.79
Ministry of Defence,Ministry of Defence,06/05/2010,Externally delivered education and training.,Air Command,SANDY ARTHUR TRAINING SERVICES LIMITED,29093,5520
Ministry of Defence,Ministry of Defence,18/05/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,635479,5515.86
Ministry of Defence,Ministry of Defence,06/05/2010,"Transportation of personnel, freight and travel expenses",Defence Estates,CARTUS LTD,629344,5506.84
Ministry of Defence,Ministry of Defence,21/05/2010,Estate management,Air Command,TURNER FACILITIES MANAGEMENT LTD,638325,5502.64
Ministry of Defence,Ministry of Defence,06/05/2010,Payment of utilities,Air Command,TOTAL GAS & POWER LIMITED,629986,5454.04
Ministry of Defence,Ministry of Defence,06/05/2010,Purchase of inventory and services ,Air Command,L WHITAKER & SONS (1983) LIMITED,629602,5440.58
Ministry of Defence,Ministry of Defence,07/05/2010,Transport hire charges,Command Joint Operations,VT LAND (WHITEFLEET MANAGEMENT) LTD,630994,5422.58
Ministry of Defence,Ministry of Defence,21/05/2010,Estate management,Central TLB,COMPASS CONTRACT SERVICES (U K)LIMITED,637704,5421.9
Ministry of Defence,Ministry of Defence,27/05/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,641216,5399.69
Ministry of Defence,Ministry of Defence,12/05/2010,"Transporation of personnel, freight and travel expenses",Land Forces,DHL GLOBAL FORWARDING (UK)  LIMITED,632622,5391.7
Ministry of Defence,Ministry of Defence,25/05/2010,Purchase of inventory and services ,Air Command,C F ANDERSON & SON LIMITED,639809,5379.95
Ministry of Defence,Ministry of Defence,19/05/2010,Purchase of buildings and military equipment ,Command Joint Operations,GIFFORD LLP,636367,5370.47
Ministry of Defence,Ministry of Defence,25/05/2010,"Transporation of personnel, freight and travel expenses",Land Forces,CITYSPRINT (UK) LIMITED,639840,5369.02
Ministry of Defence,Ministry of Defence,06/05/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,629212,5347.26
Ministry of Defence,Ministry of Defence,19/05/2010,"Transporation of personnel, freight and travel expenses",Land Forces,ROYAL MAIL GROUP LIMITED,636717,5346.84
Ministry of Defence,Ministry of Defence,12/05/2010,Transport hire charges,Air Command,VT LAND (WHITEFLEET MANAGEMENT) LTD,633178,5339.25
Ministry of Defence,Ministry of Defence,20/05/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,636889,5335.38
Ministry of Defence,Ministry of Defence,17/05/2010,Purchase of inventory and services ,Air Command,XMA LTD,635470,5272.83
Ministry of Defence,Ministry of Defence,06/05/2010,Fees for professional services,Navy Command,CORPORATE DOCUMENT SERVICES  LIMITED,629376,5266
Ministry of Defence,Ministry of Defence,13/05/2010,Purchase of inventory and services ,Central TLB,HENRY SCHEIN UK HOLDINGS LIMITED,633477,5233.08
Ministry of Defence,Ministry of Defence,14/05/2010,Service and civilian recruitment,Land Forces,TMP (UK) LIMITED,634657,5231.45
Ministry of Defence,Ministry of Defence,21/05/2010,Estate management,Land Forces,ASPIRE DEFENCE LIMITED,637577,5215.42
Ministry of Defence,Ministry of Defence,18/05/2010,Purchase of inventory and services ,Air Command,OFFICE DEPOT UK LTD,635918,5175.51
Ministry of Defence,Ministry of Defence,20/05/2010,Estate management,Central TLB,ASPIRE DEFENCE LIMITED,636922,5082.02
Ministry of Defence,Ministry of Defence,26/05/2010,Estate management,Air Command,ENTEC U K LTD,640676,5054.13
Ministry of Defence,Ministry of Defence,25/05/2010,Design services and minor equipment purchases,Air Command,VT LAND (WHITEFLEET MANAGEMENT) LTD,640389,5051.15
Ministry of Defence,Ministry of Defence,10/05/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,631024,5023.14
Ministry of Defence,Ministry of Defence,20/05/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,636889,5009.85
Ministry of Defence,Ministry of Defence,12/05/2010,Purchase of inventory and services ,Air Command,THYSSENKRUPP AEROSPACE UK LTD,633139,4999.34
Ministry of Defence,Defence Support Group,12/05/2010,Electricity,Business Stream 1,THE ACCOUNTING OFFIC,424049,4996.92
Ministry of Defence,Ministry of Defence,10/05/2010,Rental of plant and machinery,Defence Equipment & Support,CANON (UK) LIMITED,631113,4990.45
Ministry of Defence,Ministry of Defence,07/05/2010,Purchase of inventory and services ,Air Command,CARWOOD MOTOR UNITS LTD,630250,4936.38
Ministry of Defence,Ministry of Defence,13/05/2010,Fees for professional services,Central TLB,WILLIS LIMITED,633927,4923.75
Ministry of Defence,Ministry of Defence,24/05/2010,Payment of utilities,Air Command,SSE ENERGY SUPPLY LIMITED,638891,4908.54
Ministry of Defence,Ministry of Defence,10/05/2010,Transport hire charges,Central TLB,VT LAND (WHITEFLEET MANAGEMENT) LTD,631748,4893.13
Ministry of Defence,Ministry of Defence,11/05/2010,Purchase of inventory and services ,Central TLB,OFFICE DEPOT UK LTD,632200,4874.33
Ministry of Defence,Ministry of Defence,10/05/2010,Transport hire charges,Navy Command,VT LAND (WHITEFLEET MANAGEMENT) LTD,631748,4853.69
Ministry of Defence,Ministry of Defence,06/05/2010,"Transportation of personnel, freight and travel expenses",Land Forces,CARTUS LTD,629344,4823.22
Ministry of Defence,Ministry of Defence,07/05/2010,Purchase of inventory and services ,Navy Command,XMA LTD,631015,4819.28
Ministry of Defence,Ministry of Defence,20/05/2010,Fuel for military use,Command Joint Operations,BP INTERNATIONAL LIMITED,2000008267,4779.04
Ministry of Defence,Ministry of Defence,07/05/2010,Fuel for military use,Defence Equipment & Support,GB OILS LIMITED,630404,4735.25
Ministry of Defence,Ministry of Defence,10/05/2010,"Transportation of personnel, freight and travel expenses",Navy Command,CARTUS LTD,631122,4706.26
Ministry of Defence,Ministry of Defence,25/05/2010,Purchase of inventory and services ,Central TLB,XMA LTD,640411,4685.12
Ministry of Defence,Ministry of Defence,25/05/2010,"Transporation of personnel, freight and travel expenses",Navy Command,PLANT SPEED LIMITED,640214,4644.78
Ministry of Defence,Ministry of Defence,06/05/2010,Estate management,Navy Command,SODEXO LTD,629907,4641.17
Ministry of Defence,Ministry of Defence,06/05/2010,Design services and minor equipment purchases,Defence Equipment & Support,G3 SYSTEMS LIMITED,629492,4640.63
Ministry of Defence,Ministry of Defence,10/05/2010,Estate management,Land Forces,SAFESKYS LTD,631592,4608.58
Ministry of Defence,Ministry of Defence,12/05/2010,Purchase of inventory and services ,Air Command,PFIZER LIMITED,632986,4576.97
Ministry of Defence,Ministry of Defence,05/05/2010,Purchase of inventory and services ,Central TLB,XMA LTD,629200,4574.67
Ministry of Defence,Ministry of Defence,07/05/2010,Purchase of inventory and services ,Land Forces,CANON (UK) LIMITED,630236,4527.91
Ministry of Defence,Ministry of Defence,13/05/2010,Estate management,Land Forces,CAPITA SYMONDS LTD,633314,4497.13
Ministry of Defence,Ministry of Defence,27/05/2010,"Transporation of personnel, freight and travel expenses",Defence Equipment & Support,DHL GLOBAL FORWARDING (UK)  LIMITED,641378,4481.24
Ministry of Defence,Ministry of Defence,20/05/2010,Preparation of land & buildings for disposal,Defence Estates,TURNER ESTATE SOLUTIONS LIMITED,637492,4476.16
Ministry of Defence,Ministry of Defence,04/05/2010,"Transportation of personnel, freight and travel expenses",Defence Equipment & Support,CITYSPRINT (UK) LIMITED,628117,4463.21
Ministry of Defence,Ministry of Defence,07/05/2010,Purchase of inventory and services ,Defence Equipment & Support,XMA LTD,631015,4456.49
Ministry of Defence,Defence Science and Technology Laboratory,07/05/2010,IS Development,Operations,DETICA LIMITED,V - 9000122588 - 00078709,4425.51
Ministry of Defence,Ministry of Defence,20/05/2010,Miscellaneous Administration Costs,Central TLB,SERCO LIMITED,637394,4398.87
Ministry of Defence,Ministry of Defence,12/05/2010,Estate management,Air Command,SERCO LIMITED,633058,4392.28
